Scenario,Algorithm,Solved,Moves,Expanded_Nodes,Max_Fringe_Size,Time
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",A* (rowColumnHeuristic),True,24,283,284,0.008139371871948242
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",A* (linearConflict),True,26,521,561,0.019459962844848633
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",DFS,False,0,19104,18150,10.001721858978271
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",BFS,False,0,659132,625057,10.000671148300171
"[5, 4, 0, 8, 2, 1, 10, 6, 14, 7, 12, 3, 9, 13, 11, 15]",UCS,False,0,474375,450190,10.003079414367676
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",A* (misplacedTiles),True,14,42,42,0.0010051727294921875
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",A* (euclideanDistance),True,14,18,20,0.002214670181274414
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",A* (manhattanDistance),True,14,18,20,0.0016276836395263672
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",A* (rowColumnHeuristic),True,14,18,20,0.0010056495666503906
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",A* (linearConflict),True,14,18,20,0.0023241043090820312
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",DFS,False,0,18446,17519,10.001336574554443
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",BFS,True,14,60999,60220,0.7379117012023926
"[2, 3, 4, 8, 1, 0, 11, 7, 5, 6, 9, 12, 13, 10, 14, 15]",UCS,True,14,56515,50913,0.8173542022705078
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",A* (misplacedTiles),True,16,416,485,0.020414113998413086
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",A* (euclideanDistance),True,16,53,57,0.0020356178283691406
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",A* (manhattanDistance),True,16,47,50,0.006012916564941406
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",A* (rowColumnHeuristic),True,16,125,146,0.0
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",A* (linearConflict),True,16,113,133,0.007521390914916992
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",DFS,False,0,19768,18772,10.007246255874634
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",BFS,True,16,244766,236248,2.4503047466278076
"[1, 2, 4, 8, 5, 14, 6, 12, 9, 11, 3, 7, 13, 0, 10, 15]",UCS,True,16,182288,161451,2.175137996673584
